Year,Trade openness (share of exports and imports in GDP)
2015,38.3607641184453
2016,36.202652984202
2017,35.2829149424588
2018,36.5618892194281
2019,38.0947579675453
1960,66.3154553972367
1961,57.6724366717641
1962,52.088461268147
1963,62.9637629728768
1964,55.5362521636175
1965,60.2710034441918
1966,58.569295342325
1967,49.5622852902583
1968,42.4839647785112
1969,49.9337944419613
1970,65.4651710497636
1971,65.4564727680565
1972,65.4219766188982
1973,65.5170637425844
1974,65.4303779479821
1975,65.3184881439867
1976,65.802325149636
1977,65.1703205447865
1978,64.9828187401461
1979,67.2538361720228
1980,63.274306712264
1981,64.4203133431544
1982,74.0668884576794
1983,79.1771439229251
1984,67.291945080629
1985,71.9347921548184
1986,62.61627885035
1987,62.211839947091
1988,65.1411301210285
1989,58.6514898808556
1990,52.5422326251755
1991,58.2187583456294
1992,59.8906721589575
1993,57.6812903577077
1994,67.3213290129468
1995,64.3294523501106
1996,59.7049891541184
1997,61.1703130896702
1998,46.5691736303843
1999,47.120136580167
2000,49.2715689660484
2001,44.441922745304
2002,40.9934930964184
2003,29.5170716702454
2004,28.3154798845801
2005,24.8285560178764
2006,25.8068155828314
2007,33.1561792127495
2008,36.2185263542809
2009,37.8969223253542
2010,39.5501057977096
2011,40.0009485841574
2012,40.8104424055586
2013,39.2433304243891
2014,39.2358265722716
2015,37.8049520714563
2016,37.1328797158337
2017,40.164358921352
2018,43.0945213236163
2019,42.0756366816045
1960,142.31523159505
1961,133.352093191926
1962,125.506082702447
1963,128.618032893577
1964,129.477870811665
1965,121.236384442711
1966,108.454112010166
1967,115.549729051918
1968,117.697064481449
1969,120.100649005074
1970,125.281023712469
1971,143.167046814783
1972,133.851292494022
1973,133.47089470758
1974,151.662536454593
1975,147.295350371823
1976,150.32568374891
1977,165.3347081469
1978,152.286161026682
1979,156.832526444645
1980,171.960439055832
1981,195.646816336268
1982,211.557671126184
1983,175.914963988337
1984,165.525769465761
1985,159.677311253435
1986,162.299607626553
1987,129.784128130979
1988,132.813068390688
1989,127.250173571032
1990,90.046533257838
1991,78.574125840024
1992,91.1244524560009
1993,91.627588902702
1994,142.5301755331
1995,131.008984488839
1996,122.050291790397
1997,146.128977940199
1998,157.230360983548
1999,134.037465911031
2000,127.104274583403
2001,131.983599022626
2002,128.541967202533
2003,127.252362974542
2004,124.569177043098
2005,125.469526112958
2006,125.600762974491
2007,148.586625395069
2008,133.108486659608
2009,138.248893972092
2010,119.144692412101
2011,118.463850355803
2012,97.444435145443
2013,93.0029803360953
2014,104.993839897466
2015,124.05780195502
2016,131.643722888169
2017,114.081523522198
2018,122.820399693902
2019,118.588629459104
1970,174.092686805505
1971,154.412669112715
1972,150.512387137999
1973,152.057550459622
1974,152.623796612948
1975,167.611688446467
1976,171.715973501442
1977,171.279797351966
1978,169.247398784607
1979,190.023895952502
1980,181.913466505061
1981,192.085298703307
1982,167.958478875797
1983,175.431531408956
1984,172.02054580863
1985,167.671317686573
1986,173.482052477581
1987,195.608692312547
1988,140.979692644745
1989,122.963189742328
1990,150.196311575561
1991,137.745093247482
1992,106.038310491557
1993,106.891362573236
1994,90.9129559014166
1995,98.1191890620075
1996,95.8079205464414
1997,110.132115922282
1998,103.882877443679
1999,123.108681612768
2000,144.798433075673
2001,135.394437681335
2002,121.362683535968
2003,121.491068090668
2004,114.20747752789
2005,122.919170081491
2006,134.151853152686
2007,138.92996541144
2008,164.937123144483
2009,127.968878102373
2010,137.483928598083
2011,138.682206832234
2012,139.308148139059
2013,156.528204625571
2014,147.718320607382
2015,140.136191710422
2016,147.499500987906
2017,147.84238529161
2018,145.159359177999
2019,146.833748448997
1950,46.4399265753151
1951,47.7043715860722
1952,50.8397850070787
1953,49.0306354043105
1954,48.1302016844703
1955,47.1540080457045
1956,45.3885956133161
1957,47.6667086394556
1958,46.5194266873867
1959,42.6313275650351
1960,43.2383987854579
1961,43.3943638787027
1962,46.1181003513622
1963,46.3118812373583
1964,49.3247005402007
1965,52.2800808915442
1966,51.6321523353571
1967,52.1419962866067
1968,55.8697361720438
1969,54.3506174832782
1970,57.980634006214
1971,59.5402239488576
1972,62.0411275724628
1973,62.8140444076489
1974,75.8050904883718
1975,63.7974015798528
1976,59.2486910150356
1977,62.34881700831
1978,59.7023994175063
1979,59.7328209160578
1980,58.9776683432546
1981,84.716030895417
1982,80.4586802511032
1983,67.3078098402172
1984,63.1250841208852
1985,58.4696425131196
1986,57.0834739227921
1987,62.4655181655249
1988,64.6019416990618
1989,68.166094187989
1990,70.0044079907688
1991,71.7114875168975
1992,76.4125428487253
1993,79.7314767284334
1994,78.4022649357026
1995,80.2255872242782
1996,84.4922554877688
1997,88.0496624397586
1998,92.48985485566
1999,87.9039408054737
2000,86.8960098151658
2001,81.1718888810772
2002,80.7746061680799
2003,83.6947770987407
2004,85.632120656421
2005,89.6358585019214
2006,90.2628523337585
2007,86.9115336754116
2008,86.9344295868539
2009,70.1778204864871
2010,68.2185760463981
2011,69.4510688831147
2012,68.144536771514
2013,65.6183745427049
2014,67.0455482227808
2015,62.5182963990458
2016,63.9275351985892
2017,65.8144121143681
2018,66.6946767482142
2019,66.154137794866
1960,61.9285815815317
1961,69.5986968347757
1962,65.206594439197
1963,62.4224005284576
1964,65.8068055997962
1965,73.5819337775674
1966,71.5265684309859
1967,71.1799307184654
1968,74.7284028834769
1969,69.5864772957731
1970,71.1219634480864
1971,70.8659161347683
1972,72.0178790556908
1973,78.1156282122382
1974,88.1758274471597
1975,76.835640978018
1976,81.2584327761305
1977,82.2633529639146
1978,77.1051503975305
1979,75.8954493985086
1980,79.6934349077114
1981,80.7183465486835
1982,79.0511247739835
1983,72.6731859428922
1984,77.1057737338596
1985,79.172514992982
1986,69.6787211905287
1987,63.0504337500412
1988,58.3824492468893
1989,55.6465769455822
1990,53.3662754786906
1991,51.8598217030433
1992,55.6357927786499
1993,52.5649145028499
1994,70.103986135182
1995,69.1502796319683
1996,74.7486960148539
1997,78.2080476408741
1998,76.1923956367194
1999,70.5327126971813
2000,73.5963182117028
2001,73.5503828349532
2002,79.8621843661759
2003,75.2669679188867
2004,84.605797267166
2005,93.9226377104127
2006,95.0697299543571
2007,89.4453925010947
2008,87.2748533375614
2009,90.7792297291403
2010,89.2041220426528
2011,81.2379736817412
2012,80.1838493723548
2013,65.1011960841244
2014,56.8096881195667
2015,52.7157827893591
2016,47.5156025529806
2017,48.5407783205547
2018,46.0679039165787
2019,46.4007697017406
1990,90.6647952982489
1991,113.862276010367
1992,81.8701979798107
1993,76.2619128330835
1994,66.0332822763153
1995,63.4211885475442
1996,67.8964568401091
1997,75.4426717512368
1998,65.6732785304401
1999,66.928954473231
2000,75.02792706532
2001,79.6808519117558
2002,81.9333877107306
2003,82.2428163404844
2004,82.4034837944949
2005,82.2428126206692
2006,84.3708604021309
2007,84.0675997159928
2008,83.037603854815
2009,70.9422230466394
2010,74.0376975099054
2011,79.7302647223387
2012,80.7531249791778
2013,83.0231417562648
2014,86.9816214722911
2015,92.5398489152048
2016,94.1491116022686
2017,99.4381050336023
2018,101.845259064571
2019,102.849829084535
1970,76.8065376483463
1971,76.8086510918061
1972,76.8094972144221
1973,76.8018028708156
1974,76.7856936159466
1975,76.8270433709936
1976,76.8192184063274
1977,76.8137278058722
1978,76.7633311508355
1979,76.7051473705638
1980,77.0337921397535
1981,76.7800935572095
1982,76.7862748310739
1983,76.5113478220369
1984,76.4142285132281
1985,78.677015972187
1986,75.511600624909
1987,76.8171812236883
1988,75.1367127791107
1989,75.9286319701854
1990,71.1144933991122
1991,50.9961164702221
1992,35.1468674086527
1993,28.9158302707793
1994,27.7758968247648
1995,29.308417407402
1996,32.6254147179918
1997,32.7568057718465
1998,32.5041672009232
1999,31.8686122637485
2000,31.0755812051378
2001,29.3624515896889
2002,24.7293133475239
2003,26.5872076343065
2004,31.3110874948303
2005,39.3622958662027
2006,37.1875159974745
2007,37.9676744511448
2008,44.917220748508
2009,32.9139819587629
2010,40.2919413008332
2011,46.9604290476881
2012,45.8662036340767
2013,44.3235080624255
2014,39.274201547312
2015,31.6137399148428
2016,27.2693444237715
2017,26.2175919711722
2018,27.0677744118853
2019,26.8515702685516
2005,134.911459814837
2006,144.55551225187
2007,146.049123070957
2008,166.739541402794
2009,144.702340927358
2010,144.532261861441
2011,167.331209615392
2012,175.635948981834
2013,157.758829826222
2014,157.570111618275
2015,140.039200082569
2016,131.428474198012
2017,133.483128440466
2018,150.08557271255
2019,133.402769352689
1950,76.0421732212893
1951,93.1823431306663
1952,76.5177990272742
1953,69.0602412392304
1954,79.9678085981257
1955,82.93060211728
1956,94.7604901148508
1957,97.5322974752148
1958,99.3671915906227
1959,103.593503765533
1960,104.373770789067
1961,100.451888708862
1962,101.415479597179
1963,102.550822729135
1964,92.7235831640001
1965,97.3571143967072
1966,101.572942627516
1967,100.055214641391
1968,110.340191513364
1969,113.05071683157
1970,117.391524329485
1971,114.565065844473
1972,116.690227880305
1973,128.108429804597
1974,131.579043692593
1975,126.31500027673
1976,156.007916757303
1977,160.207044939709
1978,145.776296297494
1979,150.312038825686
1980,150.171257160391
1981,157.677554103489
1982,159.881730531702
1983,158.787917194118
1984,169.101103773531
1985,149.570542538002
1986,130.394632590876
1987,135.706218859704
1988,141.487298194848
1989,154.783019442215
1990,150.890732233336
1991,144.759896814363
1992,152.915882059086
1993,132.282643451006
1994,133.196996225395
1995,134.390424963859
1996,140.848424086722
1997,139.764014617718
1998,134.909159142586
1999,131.208639894776
2000,137.495044832468
2001,131.848400178683
2002,123.641491959249
2003,114.004344001308
2004,113.904044340521
2005,111.917178845388
2006,109.80625
2007,111.274812124535
2008,112.925574446595
2009,102.790822200209
2010,109.100978876868
2011,110.817552896026
2012,112.537549895066
2013,121.140316754654
2014,131.27897291553
2015,138.027924092243
2016,139.799394899565
2017,146.404387291227
2018,145.345305566331
2019,142.64295739988
1990,63.4970161630816
1991,71.2715410946615
1992,78.5122732015507
1993,78.7505529735655
1994,75.3318340565801
1995,83.4870632572953
1996,81.0974959751374
1997,84.6399130604194
1998,84.4158277010735
1999,85.9992285782893
2000,98.0463388969232
2001,99.0124561576286
2002,91.334650324677
2003,94.9735288575829
2004,113.488959982229
2005,121.297960403591
2006,127.028381868435
2007,129.77901730598
2008,123.742499121909
2009,112.797244532562
2010,128.028911534811
2011,137.862818884663
2012,146.528856576028
2013,146.42241704968
2014,157.574982178056
2015,155.175663480909
2016,150.586267345414
2017,150.532652492994
2018,148.003370824325
2019,142.756165428235
1950,81.8310769911921
1951,84.9096864305462
1952,88.7650549257006
1953,78.8042861131756
1954,85.0608925121253
1955,84.9433504982504
1956,89.1583161467419
1957,87.767687260078
1958,77.6163733822511
1959,80.290631710652
1960,98.4160839188593
1961,50.6017622215544
1962,40.2038852588289
1963,158.722656091772
1964,175.444935731088
1965,134.2313804841
1966,159.511263636092
1967,77.6536809232908
1968,73.8129009907022
1969,69.1884876970046
1970,86.8255959849435
1971,80.1346801346802
1972,77.7212614445575
1973,81.8834796488428
1974,97.5130890052356
1975,73.2515337423313
1976,83.2029641827913
1977,86.4880952380952
1978,48.6143931256713
1979,45.9336231576715
1980,72.6356907894737
1981,77.162664025749
1982,62.5193989174458
1983,75.4231550440082
1984,133.034586182059
1985,133.218186761343
1986,120.99047729312
1987,54.8431827349738
1988,53.3209683274344
1989,50.3284497369879
1990,58.7083671491272
1991,39.9999989145417
1992,33.9002429612691
1993,20.4309036042959
1994,42.5167218048522
1995,52.2085313167468
1996,60.3162567442128
1997,33.7500004264842
1998,62.6793067256363
1999,41.1776608186874
2000,27.0138941614275
2001,25.0425741686833
2002,29.3168974519978
2003,54.0308558496398
2004,49.3363477246208
2005,52.3147739898767
2006,47.9645363871444
2007,80.1454520228006
2008,83.7715493874011
2009,62.9453288480386
2010,90.7476697702273
2011,85.1982794178304
2012,68.3515986139657
2013,77.4657917154723
2014,78.6901035396099
2015,59.3326346009251
2016,51.4846723316754
2017,75.0349664304127
2018,71.8134592467983
2019,67.2872750798373
1950,56.2136178401536
1951,65.4061498974537
1952,60.838558151736
1953,58.8445576659378
1954,62.2706735666536
1955,63.7296057829126
1956,65.2689921385262
1957,65.1446797845859
1958,63.7907970025865
1959,63.9474458320344
1960,64.3435956549388
1961,60.1067077854272
1962,58.9915254379745
1963,58.8666817663184
1964,60.4079947738659
1965,58.8977265907085
1966,57.2889545834145
1967,55.2642969105595
1968,55.1571353302463
1969,55.4365826728593
1970,57.1346024706011
1971,55.6746345318056
1972,53.2211410414434
1973,57.8397568650655
1974,64.6615819100498
1975,59.7005684212337
1976,61.0073442910106
1977,60.2827363525338
1978,57.0529054275303
1979,60.8478728892995
1980,65.455711106898
1981,70.7448160079859
1982,70.8385645948222
1983,69.6329046136203
1984,70.9085829947609
1985,72.0872649501849
1986,64.7973394888058
1987,61.352944241723
1988,63.7553288320023
1989,67.0449318149182
1990,67.2901980814838
1991,69.1465171562325
1992,67.001908963461
1993,65.6049871508488
1994,67.7805788061042
1995,68.6226402169645
1996,68.574222627442
1997,71.2661489238995
1998,71.2991193840073
1999,72.6971996446295
2000,82.983950706603
2001,83.9685868149784
2002,84.5569397654777
2003,80.8817255042801
2004,82.2077807385254
2005,89.3997669585569
2006,97.3666971811729
2007,100.067861137709
2008,104.828223617379
2009,89.7550319572765
2010,94.0999797893453
2011,101.245740053085
2012,103.240999217943
2013,103.050147770845
2014,102.263920471036
2015,104.048211609365
2016,100.168848396059
2017,102.979389908635
2018,106.709145333848
2019,109.29243155125
1970,85.6407751568628
1971,85.8076873796543
1972,85.2357057754569
1973,85.8789323119266
1974,86.3084240369004
1975,83.519760986711
1976,87.808611907479
1977,87.5968992248062
1978,74.8579878443664
1979,101.827479746377
1980,95.5220096997777
1981,104.397362233799
1982,117.262051070172
1983,121.025931583246
1984,132.041308937716
1985,142.663211072583
1986,132.526207106842
1987,129.099390618103
1988,121.35953738058
1989,114.205497374277
1990,190.671057298235
1991,196.393239254416
1992,120.760986529795
1993,124.180481873158
1994,106.004167694639
1995,94.9938281282778
1996,97.1685293420965
1997,100.075840373199
1998,106.377619942822
1999,94.8740320606904
2000,91.9684572014205
2001,87.9801175685671
2002,85.3677979662314
2003,93.6468270664878
2004,91.2938329992462
2005,97.6394634569117
2006,105.298757859213
2007,107.916267496831
2008,108.720773908307
2009,139.10183402218
2010,178.135248404246
2011,228.333925550796
2012,292.954947591596
2013,376.224089677914
2014,319.790625396871
2015,280.120446938049
2016,224.462119082952
2017,325.439507277306
2018,317.898486692266
2019,328.714894966946
1970,95.1615777038746
1971,98.505613779814
1972,95.1615791731189
1973,91.8175398048279
1974,87.1380840784557
1975,83.5079508052281
1976,80.9698875522042
1977,81.0592604553528
1978,85.0567260940032
1979,95.7926624032313
1980,92.9948618812637
1981,91.3437683251387
1982,89.1527387059408
1983,82.3948948948949
1984,85.60667752443
1985,79.6113194681214
1986,85.6359949580753
1987,87.2869162297281
1988,95.8115976536289
1989,96.7611579010543
1990,104.054352222999
1991,101.272414722934
1992,96.0899424014178
1993,89.4451819224039
1994,89.2800605203065
1995,94.182485395502
1996,102.731097228734
1997,107.067854829049
1998,100.426186947881
1999,101.702483951996
2000,98.2362806401813
2001,84.3601328180284
2002,83.8544735057746
2003,80.3201933242712
2004,82.9490438150569
2005,89.3562720515714
2006,87.9640877685825
2007,91.1726186813863
2008,96.9153915173267
2009,84.3263915183642
2010,89.1332228330571
2011,90.4307458030559
2012,84.0007925681494
2013,87.7248401962242
2014,117.539300563878
2015,107.787724573456
2016,101.782339859367
2017,102.965337893199
2018,107.766298060107
2019,104.171325295075
1951,75.6553760934847
1952,78.3254547402629
1953,72.7180400278078
1954,70.8957970950432
1955,76.7016900051601
1956,73.5366439060933
1957,73.1324463749896
1958,74.0566456970903
1959,69.7939752186271
1960,64.2441692099136
1961,57.3375446239372
1962,71.9937194405045
1963,71.9815602250163
1964,74.6559554133539
1965,56.4693898962795
1966,65.4145804723776
1967,66.6034288294067
1968,70.1650483912136
1969,69.1291783394026
1970,64.6866344985224
1971,65.270376523574
1972,66.7763761921443
1973,71.482686955089
1974,87.3434599883752
1975,87.3883377007354
1976,72.5408741024755
1977,68.6205633181438
1978,64.8644602790897
1979,73.8784164571766
1980,74.4463490307578
1981,71.1937880194921
1982,52.0697311208726
1983,50.7354274289928
1984,121.925574686297
1985,99.4670088087934
1986,86.4701765832806
1987,105.959963905348
1988,124.331216905065
1989,104.716178868596
1990,86.7991071804122
1991,81.8600790345126
1992,79.7839312171929
1993,77.5392363490784
1994,77.0284949539867
1995,73.8979593965482
1996,72.6424908824935
1997,74.233237158096
1998,75.9113027243142
1999,76.3027532870935
2000,79.3003930961432
2001,70.5105678009108
2002,68.7232829067642
2003,84.4495031826663
2004,81.3514229341061
2005,61.6535587383635
2006,63.7664826343922
2007,61.9472306777802
2008,61.3920530916073
2009,50.6122826092632
2010,55.9999360704637
2011,58.9896659007927
2012,58.38867388442
2013,56.6817561177798
2014,55.4964232503651
2015,52.1710777181151
2016,51.5859712564987
2017,50.2250854244165
2018,52.0559663850689
2019,51.0111449198079
1950,21.8214948720418
1951,21.4904878437665
1952,22.5593909134737
1953,23.8520350461303
1954,27.7550866798219
1955,25.7279487727822
1956,25.7308902600125
1957,25.6983121743285
1958,24.5124412681471
1959,24.3980288322789
1960,24.4639809166807
1961,23.4983387408803
1962,25.8299304380126
1963,23.5745812789276
1964,23.4215292325768
1965,23.7015684064601
1966,24.2336297708087
1967,23.9658328137636
1968,24.4951280660343
1969,21.840995089175
1970,22.4512535597798
1971,27.2705147299212
1972,27.9579897376635
1973,34.537634740314
1974,41.404370100132
1975,35.4050500448306
1976,34.0139042731574
1977,34.4422102372902
1978,33.2958288169454
1979,36.0795817670218
1980,35.0250095913135
1981,29.9152736896609
1982,32.4129455881689
1983,30.8760173448129
1984,33.05830053321
1985,35.7173093974088
1986,33.1106044808965
1987,37.7307228547875
1988,42.6623014756666
1989,45.1129811864879
1990,44.5949122940278
1991,45.196639984556
1992,44.8065436522069
1993,43.1712184234683
1994,43.7777474951998
1995,45.9112707318244
1996,44.2157026832153
1997,45.0171863180765
1998,43.395107949805
1999,49.2012507989376
2000,59.464699296633
2001,50.7450571604332
2002,49.3765496413265
2003,47.2416292378048
2004,50.6652403671973
2005,56.0998297037723
2006,59.7097138803601
2007,62.5871384279303
2008,68.0569473760308
2009,52.1048490230741
2010,60.3032387134123
2011,64.4902388929988
2012,61.7511124083851
2013,59.6061560569664
2014,57.7081689892069
2015,45.243877148583
2016,38.5213403358829
2017,42.4217213910174
2018,46.3621309486896
2019,46.7399136031782
1950,57.3050949069271
1951,53.6482182010841
1952,48.4356648330663
1953,42.2240069652146
1954,44.4719515033645
1955,43.5165826132815
1956,41.6360619338718
1957,44.201543838671
1958,42.1635896350395
1959,41.777017647353
1960,40.4915364920116
1961,38.3665618865459
1962,40.4536964529939
1963,44.0983735035338
1964,41.966715897392
1965,41.3651240565036
1966,37.5848277832546
1967,31.405232249215
1968,32.3499317848699
1969,34.5768719665395
1970,32.9355218519902
1971,31.1811632992053
1972,30.1272236201678
1973,32.3675738943018
1974,31.9029991613426
1975,51.6715819924178
1976,54.328517519296
1977,45.0854637105387
1978,52.9555780181203
1979,53.7471264402096
1980,69.5397376694371
1981,73.8672808891318
1982,68.1527087524172
1983,61.9114607035933
1984,58.1637647660304
1985,51.9558161750125
1986,41.3259971560896
1987,35.0669926451209
1988,52.9987399566003
1989,53.7484589508614
1990,57.8104876846733
1991,64.248775225927
1992,66.6913870325032
1993,55.9278350512457
1994,50.6285714283355
1995,50.2450980391652
1996,41.6744859384923
1997,42.5082191685136
1998,41.9860219041027
1999,38.5745248107584
2000,43.7753384728752
2001,44.4231522669188
2002,42.4205934026823
2003,44.5801212003052
2004,57.0492413118846
2005,64.1598262558908
2006,67.3288376418974
2007,65.0697024337783
2008,71.6778613423561
2009,56.5526810598824
2010,47.9335214977594
2011,45.2543447008096
2012,40.7126051347452
2013,40.3707124978532
2014,36.9218779342723
2015,34.8509353355794
2016,30.2465490514505
2017,44.7867435158501
2018,48.2782710596295
2019,43.2651297371437
1950,44.9409206972709
1951,47.0139682986359
1952,47.6925318871983
1953,42.9816669679628
1954,46.0203591348956
1955,43.7648633236821
1956,44.3265229733122
1957,50.6623566556345
1958,45.4113685835335
1959,44.5753168105019
1960,44.9107632132512
1961,44.3812800223082
1962,45.8516286285886
1963,49.7544460690377
1964,54.1394283413516
1965,55.0332682720474
1966,54.281178531067
1967,54.1363547838411
1968,52.3062593963824
1969,48.8376296805393
1970,49.2307469374868
1971,51.0844797235651
1972,57.0245651816476
1973,62.7227934668264
1974,72.9774643223304
1975,71.0188132162978
1976,72.1184943236026
1977,75.3836088948963
1978,69.5635423162275
1979,73.8643923326074
1980,67.1724001470453
1981,60.0598332044877
1982,51.0758335139772
1983,54.2093347067935
1984,50.1257113472302
1985,52.0317151031308
1986,53.5300133843157
1987,44.9403657869697
1988,37.9692510268106
1989,36.8057686963563
1990,49.6156277783177
1991,47.7534314008479
1992,48.6752453398081
1993,53.5272907968005
1994,55.1486492604323
1995,59.3607548230175
1996,55.2818569484668
1997,63.5570922923092
1998,60.8722905617189
1999,60.9904897181042
2000,68.7100888561253
2001,65.8907391468483
2002,65.9190912356753
2003,68.2369830838208
2004,69.7822639810434
2005,69.7157767113619
2006,73.455605550346
2007,77.6210521381764
2008,80.665990788965
2009,66.0712061517129
2010,73.5372779621329
2011,79.2766293939423
2012,77.6485606645724
2013,80.4511869874992
2014,78.1044234135704
2015,76.5602904533019
2016,72.8190914716493
2017,74.3046511916519
2018,77.175101656367
2019,77.1789136812687
1960,139.029060397096
1961,128.93262626682
1962,119.497146559148
1963,97.2891601479981
1964,101.03053598999
1965,75.1628162953435
1966,74.6635913385763
1967,75.1412821424382
1968,44.8159146509204
1969,49.964190363416
1970,80.7912646468119
1971,95.9594840262864
1972,79.1686483398948
1973,91.8894924797966
1974,101.181928642048
1975,93.793529629656
1976,99.4880816757542
1977,99.6847742264842
1978,102.737198263129
1979,87.814205477115
1980,120.793330016974
1981,157.24690453398
1982,134.856386621339
1983,12.9751647219127
1984,13.1992414992587
1985,57.8296162044201
1986,80.4703668863076
1987,102.990692232458
1988,100.523988864338
1989,77.009182126181
1990,77.2327887474265
1991,89.5474766717017
1992,74.0011210032129
1993,79.4848381734264
1994,86.2764848745154
1995,135.029088991065
1996,184.32769028104
1997,169.685819928493
1998,208.173200206758
1999,176.342052578647
2000,154.881132217577
2001,153.268903630826
2002,161.067314321716
2003,130.258791822845
2004,126.2896689144
2005,116.832080568602
2006,118.532844154982
2007,134.083711635094
2008,128.688019484154
2009,122.212059887936
2010,144.668241601825
2011,114.377620571111
2012,116.675560999081
2013,106.893501222268
2014,104.378751081707
2015,98.8780591680756
2016,92.6007368458662
2017,102.428258251803
2018,104.514601738739
2019,107.40134437562
1990,80.6059619742427
1991,86.7671172045338
1992,56.2690534002738
1993,98.781715281695
1994,105.250582914522
1995,98.8024825926079
1996,108.042316433485
1997,103.241478527484
1998,87.2921065075343
1999,74.1995010779577
2000,67.8813622018865
2001,72.0627109430804
2002,76.5901636728916
2003,74.007824843276
2004,65.5709068002439
2005,61.1060311044102
2006,58.4840998129501
2007,44.6563619900269
2008,45.2163035512886
2009,40.453490228928
2010,38.7796275267198
2011,55.8158694967464
2012,52.5921967838239
2013,41.8495264105503
2014,55.7580639259143
2015,58.068802277008
2016,41.6836803446092
2017,57.0649998223139
2018,61.334847069485
2019,60.8082812592307
1990,91.8265021353872
1991,59.6559426009776
1992,106.683022792721
1993,131.416246019709
1994,147.861230718262
1995,139.246639777187
1996,133.140142778902
1997,151.248234910552
1998,157.064204403886
1999,143.987988283199
2000,126.32921527551
2001,126.363884301646
2002,123.243253325716
2003,122.731835518972
2004,129.994415030728
2005,136.020429297883
2006,136.727944543728
2007,134.008771282043
2008,136.522920690268
2009,116.10783453284
2010,142.521910642035
2011,165.904128052716
2012,169.491766458068
2013,165.380590070335
2014,159.195187906436
2015,149.841573672489
2016,149.149697457829
2017,147.320392519864
2018,145.65648945196
2019,141.806026645834
1970,140.865857093202
1971,133.966859981381
1972,132.297612118654
1973,145.35111053801
1974,146.676529111296
1975,138.371361784714
1976,143.737395130713
1977,145.475282641651
1978,149.130683503027
1979,163.692295989123
1980,169.813328920001
1981,166.842521499025
1982,160.443511263596
1983,155.643869899379
1984,154.504620117321
1985,147.884455635551
1986,143.109341552322
1987,159.506410748691
1988,150.64571578421
1989,170.921461450233
1990,131.418597928525
1991,133.31397281898
1992,137.155900109229
1993,138.197056898022
1994,136.316899259922
1995,134.099062241265
1996,139.897236295332
1997,137.525984571965
1998,151.951049536654
1999,139.979254315936
2000,151.238306342593
2001,160.8803811139
2002,163.529329554538
2003,170.407182187481
2004,144.182632987041
2005,132.672801939538
2006,128.655269888276
2007,125.057480669312
2008,122.794252746849
2009,118.5345594779
2010,106.049789211312
2011,80.7616043597509
2012,79.66481476111
2013,86.7980691444108
2014,88.354276440468
2015,83.7974338441189
2016,86.0930241991032
2017,86.9150559132936
2018,84.2765228207501
2019,87.2501063600645
1950,6.72135580007011
1951,7.19729859337761
1952,9.11133962059837
1953,12.3325581827395
1954,11.7668436816871
1955,13.2944112942715
1956,11.3574129119781
1957,14.1995136230368
1958,14.872175583295
1959,15.6862705520859
1960,16.140308879687
1961,16.3613185027488
1962,19.6191189850706
1963,19.3235702093415
1964,20.5977737446567
1965,21.7361207678465
1966,22.2450525932747
1967,19.4476338173678
1968,19.129409759
1969,18.6375882327367
1970,18.0983176504608
1971,17.678783432874
1972,18.3582049241247
1973,19.6367358789975
1974,21.7693187105847
1975,23.045538110844
1976,21.4944395725318
1977,22.6782895675947
1978,24.0786107064984
1979,23.6179791494884
1980,27.5931432803543
1981,25.6972346939038
1982,25.9696668361489
1983,25.6621681182321
1984,24.7624638946866
1985,19.2655495868201
1986,21.8069096870317
1987,19.8125635578332
1988,18.6773558333022
1989,21.988887774522
1990,15.3439444174883
1991,13.9677932619367
1992,11.7899158060975
1993,19.4760404540243
1994,25.3843408163931
1995,29.5639870967799
1996,29.9001138606987
1997,30.3679885742904
1998,33.6630146382387
1999,35.9935334144926
2000,36.3144326301461
2001,36.0120161105252
2002,39.6023977540026
2003,41.1399804684814
2004,46.9475524475524
2005,51.0866574965612
2006,50.8670032378351
2007,45.1853113383173
2008,42.6629948420898
2009,39.6066975847738
2010,47.0774262465876
2011,48.2327752569122
2012,45.3980653716512
2013,41.4718533077113
2014,40.740661092768
2015,39.6561527319794
2016,34.898967948156
2017,31.1036319409993
2018,31.1993689785114
2019,28.7420445280582
1960,79.5938036012536
1961,74.3205034499738
1962,79.0796661070953
1963,102.152293916042
1964,105.066889502825
1965,103.294174162144
1966,92.3849134150689
1967,92.9277696540077
1968,95.7964185999327
1969,100.405065850203
1970,99.2559237089739
1971,106.622690967671
1972,100.217699016414
1973,103.059789167908
1974,102.72277956957
1975,86.0745525744232
1976,79.463618942251
1977,89.9349736006542
1978,88.8864795764164
1979,95.2238132833765
1980,99.6499773043911
1981,99.2977940264127
1982,92.104974372421
1983,91.8799330411658
1984,86.1475125893097
1985,88.5419076286676
1986,80.6583414037404
1987,86.9001750510678
1988,107.066335265404
1989,115.267676248303
1990,128.507612179183
1991,116.962301179231
1992,105.943400583206
1993,110.790397949289
1994,115.017744745781
1995,112.163637683345
1996,118.389515779547
1997,114.631279706518
1998,113.927613514814
1999,117.132021386319
2000,120.816731293672
2001,117.525881200339
2002,110.152433046263
2003,116.768671826327
2004,114.059005065961
2005,117.737743298744
2006,118.050548295028
2007,110.391544117647
2008,130.997880639014
2009,108.870680441753
2010,121.226657813926
2011,124.470741183944
2012,125.285740950549
2013,126.351158613178
2014,110.817061197775
2015,101.189167175728
2016,97.1744792927484
